test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
Admin tries to add user with email used for other one | Create new company,2495.2942593076914,108.0,4,93,passed,951
Admin tries to add user with email used for other one | Create new non-admin user,646.4093130517226,452.0,1,82,failed,951
Auto approvals | Create second user B,646.4093130517226,452.0,1,82,failed,951
Auto approvals | Ensure that it is gone without need to be approved,0.0,0.0,0,0,passed,951
Auto approvals | Ensure that new leave went straight to Approved status,0.0,0.0,0,0,failed,951
Auto approvals | Ensure that there is no pending leave requests,0.0,0.0,0,0,passed,951
Auto approvals | Ensure that user B does not have any leaves,0.0,0.0,0,0,passed,951
Auto approvals | Ensure there were two emails regarding auto-approved leaves,0.0,0.0,0,0,failed,951
Auto approvals | Login as admin user A,1518.063680283221,0.0,2,28,passed,951
Auto approvals | Login as regular user B,1518.063680283221,0.0,2,15,failed,951
Auto approvals | Logout from admin user,1043.7671912525857,0.0,2,0,passed,951
Auto approvals | Logout from user B,0.0,0.0,0,0,failed,951
Auto approvals | Obtain information about admin user A,0.0,0.0,0,0,passed,951
Auto approvals | Obtain information about user B,0.0,0.0,0,0,failed,951
Auto approvals | Open Book leave popup window,0.0,0.0,0,0,failed,951
Auto approvals | Open details page for user B,0.0,0.0,0,0,passed,951
Auto approvals | Open email audit page,0.0,0.0,0,0,passed,951
Auto approvals | Open requests page,0.0,0.0,0,0,passed,951
Auto approvals | Open user B absences section,0.0,0.0,0,0,passed,951
Auto approvals | Register new company,2495.2942593076914,108.0,4,93,passed,951
Auto approvals | Revoke request,0.0,0.0,0,0,failed,951
Auto approvals | Submit new leave requesti from user B,0.0,0.0,0,0,failed,951
Auto approvals | Update settings to make all its leave requests auto approved,0.0,0.0,0,0,failed,951
Basic audit for user changes | Create new company,2495.2942593076914,108.0,4,93,passed,951
Basic audit for user changes | Create second user,646.4093130517226,452.0,1,82,failed,951
Basic audit for user changes | Enable API integration and capture the token value,726.1678309140939,0.0,2,0,passed,951
Basic audit for user changes | Fetch the Audit feed from integration API,0.0,0.0,0,0,failed,951
Basic audit for user changes | Navigate to current user details and update its Name and Surname,1090.8207918810494,630.0,1,28,failed,951
Basic audit for user changes | Remove second account,0.0,0.0,0,0,failed,951
Basic leave request | And make sure that it is calendar indeed,0.0,0.0,0,0,failed,951
Basic leave request | Approve newly added leave request,0.0,0.0,0,0,failed,951
Basic leave request | Check that all days are marked as pended,0.0,0.0,0,0,failed,951
Basic leave request | Create new company,2495.2942593076914,108.0,4,93,passed,951
Basic leave request | Create new non-admin user,646.4093130517226,452.0,1,82,failed,951
